Ticker,Company Name,Sector,Price (INR),Change %,P/E Ratio,ROE %,Market Cap (Cr)
"RELIPOW1","Reliance Power A1","IT",1078.14,0.62,32.7,9.8,400084
"MAHIVEN2","Mahindra Ventures B2","Banking",483.88,-4.30,61.4,17.9,156575
"AIRTTEC3","Airtel Technologies C3","Pharma",4685.27,-0.51,25.2,33.4,285932
"LARSDIG4","Larsen Digital D4","Energy",4846.73,0.13,65.4,0.6,372805
"TATAFMC5","Tata FMCG E5","Automobile",3560.92,0.34,6.6,23.7,111161
"SUNPOW6","Sun Power F6","Consumer Goods",1221.16,0.43,45.9,29.2,153021
"TITAINF7","Titan Infrastructure G7","IT",2849.69,0.02,69.2,17.5,86971
"SUNSOF8","Sun Software H8","Banking",1335.53,0.85,27.8,18.1,98407
"MARUINF9","Maruti Infrastructure I9","Pharma",3475.45,-0.03,62.7,1.8,181035
"AIRTSOL10","Airtel Solutions J10","Energy",697.56,0.33,51.0,9.7,490196
"KOTASOL11","Kotak Solutions K11","Automobile",4543.01,0.31,28.7,20.0,204978
"WIPRPOW12","Wipro Power L12","Consumer Goods",3551.52,-0.01,35.8,21.3,217552
"VEDACAP13","Vedanta Capital M13","IT",4250.52,-0.26,31.3,11.6,352526
"ICICVEN14","ICICI Ventures N14","Banking",5072.99,0.25,60.9,19.5,154194
"INFOFMC15","Infosys FMCG O15","Pharma",4673.26,0.22,51.1,2.4,222797
"WIPRTEC16","Wipro Technologies P16","Energy",4076.92,-0.41,69.2,9.4,195347
"TATACAP17","Tata Capital Q17","Automobile",2002.90,-0.21,10.1,13.2,477474
"AUROAUT18","Aurobindo Automotive R18","Consumer Goods",2551.77,-0.67,50.6,4.2,144523
"KOTAPOW19","Kotak Power S19","IT",3242.64,-0.11,10.2,14.8,32011
"VEDAPOW20","Vedanta Power T20","Banking",3618.24,-0.25,52.6,19.1,245291
"MARUSOL21","Maruti Solutions U21","Pharma",2735.77,-0.15,5.7,10.1,274231
"AIRTIND22","Airtel Industries V22","Energy",1148.12,0.27,53.7,33.6,192929
"MAHIHOL23","Mahindra Holdings W23","Automobile",1769.47,-1.10,30.3,19.8,383232
"VEDAFMC24","Vedanta FMCG X24","Consumer Goods",4561.26,-0.13,64.2,4.0,249116
